번호,개방서비스명,소재지전체주소,사업장명,문화체육업종명,X,Y,행정동코드,행정동명,법정동코드,법정동명
1,관광사업자,제주특별자치도 서귀포시 대정읍 하모리 2129 - 3 ,레인보우 3 소형호텔,관광숙박업,126.2505558,33.2177269,5013025000,대정읍,5013025022,대정읍 하모리
2,관광사업자,제주특별자치도 서귀포시 대정읍 하모리 2129 - 2 ,레인보우2 소형호텔,관광숙박업,126.2507488,33.2177296,5013025000,대정읍,5013025022,대정읍 하모리
3,관광사업자,제주특별자치도 서귀포시 대정읍 하모리 2129- ,레인보우1 소형호텔,관광숙박업,126.2511025,33.2177436,5013025000,대정읍,5013025022,대정읍 하모리
4,관광사업자,제주특별자치도 서귀포시 안덕면 상천리 837 ,루체빌리조트,관광객이용시설업,126.3862354,33.3189416,5013031000,안덕면,5013031030,안덕면 상천리
5,관광사업자,제주특별자치도 제주시 노형동 710 2호,(주)일창여행사,여행업,126.4829991,33.4823813,5011066000,노형동,5011012200,노형동
6,관광사업자,제주특별자치도 서귀포시 도순동 1303 ,팜핑제주,관광객이용시설업,126.4726589,33.2691307,5013060000,대천동,5013011700,도순동
7,관광사업자,제주특별자치도 제주시 노형동 928 - 1 ,환우(주),여행업,126.4826591,33.4858391,5011066000,노형동,5011012200,노형동
8,관광사업자,제주특별자치도 제주시 노형동 3782 - 1 502호,(주)서상국제,여행업,126.4790305,33.4841448,5011066000,노형동,5011012200,노형동
9,관광사업자,제주특별자치도 서귀포시 서귀동 432 - 3 ,칠십리호텔,관광숙박업,126.5612953,33.2472152,5013052000,정방동,5013010100,서귀동
10,관광사업자,제주특별자치도 서귀포시 대정읍 하모리 557 - 1 ,호텔스위,관광숙박업,126.2573649,33.2145769,5013025000,대정읍,5013025022,대정읍 하모리
11,관광사업자,제주특별자치도 제주시 애월읍 하가리 1256 - 2 ,샐리스제주 호텔,관광숙박업,126.3417186,33.464659,5011025300,애월읍,5011025330,애월읍 하가리
12,관광사업자,제주특별자치도 제주시 연동 253 - 41 ,아이웰 호텔,관광숙박업,126.4877284,33.4857478,5011065000,연동,5011013700,연동
13,관광사업자,제주특별자치도 제주시 노형동 2532 - 11 ,투어바인,여행업,126.4733788,33.4843277,5011066000,노형동,5011012200,노형동
14,관광사업자,제주특별자치도 제주시 노형동 2613 - 3 ,(주)금성봉여행사,여행업,126.4742976,33.4859258,5011066000,노형동,5011012200,노형동
15,관광사업자,제주특별자치도 제주시 한림읍 한림리 1314 - 35 ,더퍼스트 호스텔,관광숙박업,126.2647319,33.4167616,5011025000,한림읍,5011025024,한림읍 한림리
16,관광사업자,제주특별자치도 서귀포시 법환동 1452 ,T아일랜드호스텔,관광숙박업,126.5113652,33.2334551,5013059000,대륜동,5013010200,법환동
17,관광사업자,제주특별자치도 서귀포시 상예동 592 - 1 ,히든클리프호텔&네이쳐,관광숙박업,126.4018347,33.2555642,5013062000,예래동,5013012000,상예동
18,관광사업자,제주특별자치도 서귀포시 서귀동 650 - 1 ,천지연 크리스탈호텔,관광숙박업,126.5619238,33.2422546,5013051000,송산동,5013010100,서귀동
19,관광사업자,제주특별자치도 서귀포시 서홍동 754 - 3 ,풍경호스텔,관광숙박업,126.5528766,33.242384,5013058000,서홍동,5013010600,서홍동
20,관광사업자,제주특별자치도 제주시 한림읍 금악리 산 32 - 1 ,아덴힐리조트 & 골프클럽,관광객이용시설업,126.3689034,33.3442926,5011025000,한림읍,5011025025,한림읍 금악리
21,관광사업자,제주특별자치도 제주시 연동 273 - 54 ,메이저2 호스텔,관광숙박업,126.491534,33.4865515,5011065000,연동,5011013700,연동
22,관광사업자,제주특별자치도 제주시 연동 2324 - 5 1121호,(주)씨엘국제여행사,여행업,126.4872628,33.490863,5011065000,연동,5011013700,연동
23,관광사업자,제주특별자치도 제주시 한경면 저지리 1794 ,응,관광객이용시설업,126.2570952,33.3345515,5011031000,한경면,5011031030,한경면 저지리
24,관광사업자,제주특별자치도 제주시 연동 271 - 6 ,제주앤파트너스투어,여행업,126.4903419,33.4901433,5011065000,연동,5011013700,연동
25,관광사업자,제주특별자치도 제주시 연동 262 - 44 ,에어투자관리(주),여행업,126.4890992,33.4861162,5011065000,연동,5011013700,연동
26,관광사업자,제주특별자치도 서귀포시 성산읍 고성리 496 - 1 ,제주스테이,관광숙박업,126.9159161,33.4379573,5013025900,성산읍,5013025924,성산읍 고성리
27,관광사업자,제주특별자치도 제주시 노형동 906 - 5 208호,(주)울림트레블,여행업,126.4846106,33.4886939,5011066000,노형동,5011012200,노형동
28,관광사업자,제주특별자치도 제주시 애월읍 하귀1리 544 - 2 ,더스테이인 애월 관광호텔,관광숙박업,126.4089324,33.4848783,5011025300,애월읍,5011025340,애월읍 하귀1리
29,관광사업자,제주특별자치도 제주시 노형동 3601 ,기린여행사(주),여행업,126.4629745,33.4788529,5011066000,노형동,5011012200,노형동
30,관광사업자,제주특별자치도 서귀포시 대정읍 하모리 648 - 2 ,최남단글램핑,관광객이용시설업,126.2559403,33.2117801,5013025000,대정읍,5013025022,대정읍 하모리
31,관광사업자,제주특별자치도 제주시 연동 280 - 11 ,(주)신정중한국제여행사,여행업,126.493373,33.4934348,5011065000,연동,5011013700,연동
32,관광사업자,제주특별자치도 제주시 노형동 1296 - 12 ,(주)나르샤여행사,여행업,126.4801052,33.4866823,5011066000,노형동,5011012200,노형동
33,관광사업자,제주특별자치도 제주시 도두이동 1115 - 1 ,(주)글로벌국제여행사,여행업,126.4806032,33.4982104,5011069000,도두동,5011012800,도두이동
34,관광사업자,제주특별자치도 제주시 용담삼동 1042 - 1 ,메인투어(주),여행업,126.5019073,33.515843,5011058000,용담2동,5011011000,용담삼동
35,관광사업자,제주특별자치도 서귀포시 하예동 460 - 1 ,그랜드메르호텔 제주,관광숙박업,126.3861073,33.2395834,5013062000,예래동,5013012100,하예동
36,관광사업자,제주특별자치도 제주시 조천읍 선흘리 2861 - 1 ,제주베이스캠프,관광객이용시설업,126.6975661,33.5077227,5011025900,조천읍,5011025930,조천읍 선흘리
37,관광사업자,제주특별자치도 제주시 연동 314 - 70 ,(주)아일랜드스토리,국제회의업,126.4990964,33.484146,5011065000,연동,5011013700,연동
38,관광사업자,제주특별자치도 제주시 노형동 917 - 10 ,창유국제여행사(주),여행업,126.4860964,33.4861697,5011066000,노형동,5011012200,노형동
39,관광사업자,제주특별자치도 제주시 오라일동 2452 - 16 ,(주)벨라투어,여행업,126.5200546,33.4974708,5011064000,오라동,5011011900,오라일동
40,관광사업자,제주특별자치도 서귀포시 중문동 2129 - 2 ,유어스호텔,관광숙박업,126.4238173,33.2498673,5013061000,중문동,5013011200,중문동
41,관광사업자,제주특별자치도 제주시 노형동 905 - 10 203호,엠오케이(주),여행업,126.4834557,33.48767,5011066000,노형동,5011012200,노형동
42,관광사업자,제주특별자치도 제주시 연동 290 - 45 B101호,(주)탐라국여행사,여행업,126.4958188,33.4926261,5011065000,연동,5011013700,연동
43,관광사업자,제주특별자치도 제주시 연동 253 - 5 312호,(주)한유국제여행사,여행업,126.4867276,33.4857536,5011065000,연동,5011013700,연동
44,관광사업자,제주특별자치도 제주시 연동 292 - 27 ,어반아일랜드,관광숙박업,126.4947969,33.4895033,5011065000,연동,5011013700,연동
45,관광사업자,제주특별자치도 제주시 아라일동 6084 - 1 201호,(주)나라투어,여행업,126.5428541,33.4725872,5011063000,아라동,5011011700,아라일동
46,관광사업자,제주특별자치도 서귀포시 중문동 2232 ,중문진실캠핑장,관광객이용시설업,126.418446,33.2519989,5013061000,중문동,5013011200,중문동
47,관광사업자,제주특별자치도 제주시 연동 272 - 26 ,제이드림 호텔,관광숙박업,126.4915487,33.4894277,5011065000,연동,5011013700,연동
48,관광사업자,제주특별자치도 제주시 연동 292 - 93 309호,(주)동방국제여행사,여행업,126.4947722,33.4890612,5011065000,연동,5011013700,연동
49,관광사업자,제주특별자치도 제주시 애월읍 고내리 41 ,마레보 카라반,관광객이용시설업,126.3543784,33.4709492,5011025300,애월읍,5011025333,애월읍 고내리
50,관광사업자,제주특별자치도 제주시 노형동 906 - 5 701호,(주)퍼시픽투어,여행업,126.4846106,33.4886939,5011066000,노형동,5011012200,노형동
