번호,개방서비스명,소재지전체주소,사업장명,문화체육업종명,X,Y,행정동코드,행정동명,법정동코드,법정동명
1,관광숙박업,제주특별자치도 제주시 애월읍 납읍리 465 ,리쳄블 리조트 앤드 호텔,관광숙박업,126.3507092,33.4278246,5011025300,애월읍,5011025335,애월읍 납읍리
2,관광숙박업,제주특별자치도 서귀포시 안덕면 덕수리 1513-1 ,개덩이네 하우스,관광숙박업,126.3177883,33.2792214,5013031000,안덕면,5013031026,안덕면 덕수리
3,관광숙박업,제주특별자치도 서귀포시 표선면 가시리 282-4 ,샤인빌파크 컨트리클럽,관광숙박업,126.7888877,33.3450328,5013032000,표선면,5013032024,표선면 가시리
4,관광숙박업,제주특별자치도 서귀포시 서귀동 699-1 ,오르비제주stay,관광숙박업,126.5627315,33.2414164,5013051000,송산동,5013010100,서귀동
5,관광숙박업,제주특별자치도 제주시 연동 251-62 ,㈜유유코리아,관광숙박업,126.4865482,33.4892676,5011065000,연동,5011013700,연동
6,관광숙박업,제주특별자치도 제주시 외도이동 2048 ,신라스테이플러스 이호테우,관광숙박업,126.422603,33.4928245,5011067000,외도동,5011012400,외도이동
7,관광숙박업,제주특별자치도 서귀포시 색달동 1045 ,야크마을,관광숙박업,126.4158482,33.2686992,5013062000,예래동,5013011900,색달동
8,관광숙박업,제주특별자치도 서귀포시 대정읍 상모리 87-19 ,휘게호텔,관광숙박업,126.2913977,33.2095854,5013025000,대정읍,5013025021,대정읍 상모리
9,관광숙박업,제주특별자치도 서귀포시 강정동 3703-3 ,더 시에나 리조트,관광숙박업,126.4839413,33.2646526,5013060000,대천동,5013011600,강정동
10,관광숙박업,제주특별자치도 제주시 애월읍 고내리 1109-1 ,닻밭,관광숙박업,126.3385566,33.4674565,5011025300,애월읍,5011025333,애월읍 고내리
11,관광숙박업,제주특별자치도 서귀포시 호근동 399 ,JW marriott jeju resort & spa,관광숙박업,126.5381149,33.2428966,5013059000,대륜동,5013010400,호근동
12,관광숙박업,제주특별자치도 제주시 노형동 산 13 ,엠버퓨어힐 호텔앤리조트,관광숙박업,126.4873294,33.4251035,5011066000,노형동,5011012200,노형동
13,관광숙박업,제주특별자치도 서귀포시 상예동 3713-1 ,고은관광농원 휴양콘도미니엄,관광숙박업,126.3785087,33.2647016,5013062000,예래동,5013012000,상예동
14,관광숙박업,제주특별자치도 서귀포시 표선면 가시리 265 ,카세로지,관광숙박업,126.7864813,33.3450364,5013032000,표선면,5013032024,표선면 가시리
15,관광숙박업,제주특별자치도 서귀포시 남원읍 위미리 4626 스프링데일 콘도미니엄2 ,스프링데일 골프&리조트 휴양콘도미니엄 1,관광숙박업,126.6392786,33.3304734,5013025300,남원읍,5013025327,남원읍 위미리
16,관광숙박업,제주특별자치도 제주시 조천읍 교래리 385-1 ,에코랜드 호텔,관광숙박업,126.6734849,33.4480882,5011025900,조천읍,5011025929,조천읍 교래리
17,관광숙박업,제주특별자치도 제주시 우도면 연평리 1707 ,훈데르트힐즈,관광숙박업,126.95538,33.4938996,5011033000,우도면,5011033021,우도면 연평리
18,관광숙박업,제주특별자치도 서귀포시 대정읍 안성리 214 ,산방산호텔,관광숙박업,126.29333,33.2498037,5013025000,대정읍,5013025023,대정읍 안성리
19,관광숙박업,제주특별자치도 서귀포시 서귀동 485-1 ,빨간모자달팽이,관광숙박업,126.5634916,33.2454554,5013052000,정방동,5013010100,서귀동
20,관광숙박업,제주특별자치도 제주시 연동 276 김스캐슬 ,SUN STAY HOTEL,관광숙박업,126.4901097,33.4836852,5011065000,연동,5011013700,연동
21,관광숙박업,제주특별자치도 제주시 한림읍 옹포리 393-9 ,아루미호텔 협재,관광숙박업,126.2563395,33.4063574,5011025000,한림읍,5011025028,한림읍 옹포리
22,관광숙박업,제주특별자치도 서귀포시 대정읍 상모리 87-22 ,(주)젠하이더웨이 트로피컬하이드어웨이,관광숙박업,126.2912004,33.2092491,5013025000,대정읍,5013025021,대정읍 상모리
23,관광숙박업,제주특별자치도 서귀포시 남원읍 위미리 산 72 ,백통신원리조트 기린,관광숙박업,126.6400914,33.3244776,5013025300,남원읍,5013025327,남원읍 위미리
24,관광숙박업,제주특별자치도 제주시 노형동 925 제주 드림타워 복합리조트 ,그랜드하얏트제주,관광숙박업,126.4814641,33.4852655,5011066000,노형동,5011012200,노형동
25,관광숙박업,제주특별자치도 제주시 구좌읍 평대리 3350 ,마음스테이,관광숙박업,126.8540052,33.5261468,5011025600,구좌읍,5011025633,구좌읍 평대리
26,관광숙박업,제주특별자치도 제주시 일도일동 1331-1 ,더제이드,관광숙박업,126.5266737,33.5139132,5011051000,일도1동,5011010100,일도일동
27,관광숙박업,제주특별자치도 서귀포시 법환동 1498 ,더 그랜드 섬오름,관광숙박업,126.5096804,33.2328489,5013059000,대륜동,5013010200,법환동
28,관광숙박업,제주특별자치도 제주시 도두이동 680 ,메르블루,관광숙박업,126.4841736,33.5112997,5011069000,도두동,5011012800,도두이동
29,관광숙박업,제주특별자치도 서귀포시 보목동 1453번지 ,호텔 서귀피안,관광숙박업,126.5905153,33.2444392,5013051000,송산동,5013011000,보목동
