번호,개방서비스명,소재지전체주소,사업장명,문화체육업종명,X,Y,행정동코드,행정동명,법정동코드,법정동명
1,국내여행업,제주특별자치도 제주시 연동 505-20 2층 ,더하기 주식회사,국내여행업,126.4976818,33.4800809,5011065000,연동,5011013700,연동
2,국내여행업,제주특별자치도 제주시 이도일동 1708-3 2층 ,제나투어,국내여행업,126.5252158,33.5065931,5011053000,이도1동,5011010300,이도일동
3,국내여행업,제주특별자치도 제주시 연동 1494 101동 208호,함께가개,국내여행업,126.4934029,33.4811469,5011065000,연동,5011013700,연동
4,국내여행업,제주특별자치도 제주시 노형동 2736 1층 ,고려트레블,국내여행업,126.4725927,33.4923329,5011066000,노형동,5011012200,노형동
5,국내여행업,제주특별자치도 서귀포시 법환동 748-1 동남 서호 연립주택 상가동동 202호,행복투어,국내여행업,126.508971,33.2499888,,,5013010200,법환동
6,국내여행업,제주특별자치도 제주시 연동 505-20 2층 ,테드투어,국내여행업,126.4976818,33.4800809,5011065000,연동,5011013700,연동
7,국내여행업,제주특별자치도 제주시 애월읍 신엄리 2844 ,공감공간 여행사,국내여행업,126.3527279,33.4734697,5011025300,애월읍,5011025326,애월읍 신엄리
8,국내여행업,제주특별자치도 제주시 용담이동 1527-2 B동 ,동문티엠피 주식회사,국내여행업,126.4980275,33.5043011,5011058000,용담2동,5011010900,용담이동
9,국내여행업,제주특별자치도 제주시 용담이동 924-5 성화마을회관 3층 303호 ,누리여행서비스,국내여행업,126.5031319,33.5122335,5011058000,용담2동,5011010900,용담이동
10,국내여행업,제주특별자치도 서귀포시 표선면 세화리 254-4 ,해루야투어,국내여행업,126.8047569,33.3070926,5013032000,표선면,5013032025,표선면 세화리
11,국내여행업,제주특별자치도 서귀포시 안덕면 화순리 1102-3 ,꿈사홍 여행사,국내여행업,126.3330684,33.2478274,5013031000,안덕면,5013031021,안덕면 화순리
12,국내여행업,제주특별자치도 제주시 일도이동 101-9 1층 ,(주)뉴제주관광,국내여행업,126.5482543,33.5003289,5011052000,일도2동,5011010200,일도이동
13,국내여행업,제주특별자치도 제주시 이도이동 1147-1 1층 ,더존 여행사,국내여행업,126.5330934,33.5008625,5011054000,이도2동,5011010400,이도이동
14,국내여행업,제주특별자치도 제주시 삼도이동 935 에메랄드호텔 1층 ,제주청년하숙집,국내여행업,126.5210333,33.5120518,5011056000,삼도2동,5011010600,삼도이동
15,국내여행업,제주특별자치도 제주시 애월읍 광령리 4135 ,제주골드투어,국내여행업,126.4212938,33.4475498,5011025300,애월읍,5011025321,애월읍 광령리
16,국내여행업,제주특별자치도 제주시 삼도이동 1200-1 2층 ,주식회사 워크스페이스클럽,국내여행업,126.5189829,33.5180588,5011056000,삼도2동,5011010600,삼도이동
17,국내여행업,제주특별자치도 제주시 애월읍 납읍리 1417-4 1층 ,쉼표 여행사,국내여행업,126.3292797,33.4312431,5011025300,애월읍,5011025335,애월읍 납읍리
18,국내여행업,제주특별자치도 제주시 일도일동 1431 4층 401호,주식회사 일로와,국내여행업,126.5239261,33.5128256,5011051000,일도1동,5011010100,일도일동
19,국내여행업,제주특별자치도 제주시 도두일동 1742 제주아모렉스가족호텔 신관 1층 ,제제 사랑방 여행사,국내여행업,126.4702178,33.5074498,5011069000,도두동,5011012700,도두일동
20,국내여행업,제주특별자치도 제주시 영평동 2235 제주국제대학교 창업보육센터 9209호,(주)한국융복합연구개발센터,국내여행업,126.5699159,33.4421044,5011063000,아라동,5011013600,영평동
21,국내여행업,제주특별자치도 서귀포시 안덕면 사계리 552 ,산방산투어,국내여행업,126.3059779,33.2454958,5013031000,안덕면,5013031025,안덕면 사계리
22,국내여행업,제주특별자치도 제주시 오등동 1069 제주시새활용센터 3층 1호,다시바다,국내여행업,126.5264672,33.460673,5011063000,아라동,5011013400,오등동
23,국내여행업,제주특별자치도 제주시 노형동 699-5 1층 ,(주)트래블,국내여행업,126.4835263,33.4743548,5011066000,노형동,5011012200,노형동
24,국내여행업,제주특별자치도 제주시 연동 304-11 2층 ,다강커뮤니케이션(주),국내여행업,126.4959936,33.4843879,5011065000,연동,5011013700,연동
25,국내여행업,제주특별자치도 제주시 노형동 1051-1 2층 ,(주)드림제주,국내여행업,126.4778388,33.4901526,5011066000,노형동,5011012200,노형동
26,국내여행업,제주특별자치도 제주시 노형동 1054-6 아란야플라자 401-14호 ,(주)더인싸이티드,국내여행업,126.4767223,33.4887775,5011066000,노형동,5011012200,노형동
27,국내여행업,제주특별자치도 제주시 노형동 3791-10 2층 ,k트래블,국내여행업,126.4790474,33.4831803,5011066000,노형동,5011012200,노형동
28,국내여행업,제주특별자치도 제주시 삼도일동 531-14 6층 ,가보카 투어,국내여행업,126.5196243,33.5031546,5011055000,삼도1동,5011010500,삼도일동
29,국내여행업,제주특별자치도 제주시 용담일동 2829 아리랑빌딩 ,조이앤조이투어,국내여행업,126.514442,33.5003518,5011057000,용담1동,5011010800,용담일동
30,국내여행업,제주특별자치도 제주시 일도이동 113-7 대유대림아파트 ,주식회사 오케이투어,국내여행업,126.5511876,33.5018959,5011052000,일도2동,5011010200,일도이동
31,국내여행업,제주특별자치도 제주시 노형동 1054-6 아란야플라자 ,웰컴투제주,국내여행업,126.4767223,33.4887775,5011066000,노형동,5011012200,노형동
32,국내여행업,제주특별자치도 제주시 노형동 917-8 ,아시아컴퍼니,국내여행업,126.4858053,33.4862022,5011066000,노형동,5011012200,노형동
33,국내여행업,제주특별자치도 제주시 구좌읍 김녕리 109-10 ,숨돌,국내여행업,126.7697525,33.5516652,5011025600,구좌읍,5011025634,구좌읍 김녕리
34,국내여행업,제주특별자치도 제주시 도평동 56 ,제주 설렘투어,국내여행업,126.4607617,33.4762289,5011067000,외도동,5011013800,도평동
35,국내여행업,제주특별자치도 제주시 아라일동 6080-6 ,(주)킴스제주,국내여행업,126.5460552,33.4696496,5011063000,아라동,5011011700,아라일동
36,국내여행업,제주특별자치도 서귀포시 서귀동 401-11 ,주식회사 타이드,국내여행업,126.5654854,33.2482012,5013052000,정방동,5013010100,서귀동
37,국내여행업,제주특별자치도 제주시 일도일동 1186 ,가이드오,국내여행업,126.5291243,33.5141136,5011051000,일도1동,5011010100,일도일동
38,국내여행업,제주특별자치도 제주시 봉개동 275-76 ,더에이치엔터,국내여행업,126.6114264,33.4623841,5011062000,봉개동,5011011600,봉개동
39,국내여행업,제주특별자치도 제주시 일도이동 160-8 301호,(주)화이브행크,국내여행업,126.5388898,33.5113442,5011052000,일도2동,5011010200,일도이동
40,국내여행업,제주특별자치도 제주시 일도이동 369 ,주식회사 제이투어여행사,국내여행업,126.5414219,33.5079661,5011052000,일도2동,5011010200,일도이동
41,국내여행업,제주특별자치도 제주시 노형동 906-5 한신오피스텔 ,엘엠비투어,국내여행업,126.4846106,33.4886939,5011066000,노형동,5011012200,노형동
42,국내여행업,제주특별자치도 제주시 용담이동 779-4 ,제주여행샵,국내여행업,126.5056539,33.5070168,5011058000,용담2동,5011010900,용담이동
43,국내여행업,제주특별자치도 제주시 도두일동 1249-7 ,하늘여행사,국내여행업,126.4772176,33.4961313,5011069000,도두동,5011012700,도두일동
44,국내여행업,제주특별자치도 제주시 내도동 518-1 ,제주여행파트너,국내여행업,126.4391681,33.4955316,5011067000,외도동,5011014000,내도동
45,국내여행업,제주특별자치도 제주시 용담이동 946 ,애플투어,국내여행업,126.5024818,33.5131092,5011058000,용담2동,5011010900,용담이동
46,국내여행업,제주특별자치도 제주시 애월읍 광령리 160-2 2층 ,주식회사 돌담여행사,국내여행업,126.443321,33.4540671,5011025300,애월읍,5011025321,애월읍 광령리
47,국내여행업,제주특별자치도 제주시 삼도이동 1175-3 그린빌라트 ,제주인폼투어,국내여행업,126.5195652,33.5161004,5011056000,삼도2동,5011010600,삼도이동
48,국내여행업,제주특별자치도 제주시 연동 1374 진현빌딩 2층 ,제주 휠체어투어,국내여행업,126.4911376,33.4814889,5011065000,연동,5011013700,연동
49,국내여행업,제주특별자치도 서귀포시 법환동 732 ,더컴퍼니,국내여행업,126.5099108,33.2546794,5013059000,대륜동,5013010200,법환동
50,국내여행업,제주특별자치도 제주시 용담일동 2829-7 ,제주투어맛집 여행사,국내여행업,126.5146477,33.5002821,5011057000,용담1동,5011010800,용담일동
51,국내여행업,제주특별자치도 제주시 한경면 신창리 62 ,백년여행,국내여행업,126.1854239,33.3460471,5011031000,한경면,5011031028,한경면 신창리
