번호,개방서비스명,소재지전체주소,사업장명,문화체육업종명,음식점카페구분,입력주소,X,Y,행정동코드,행정동명,법정동코드,법정동명
1,,,바삭2번출구,간이 음식 포장 판매 전문점,음식점,제주특별자치도,126.5274009,33.51223586,,일도1동,,일도일동
2,,,올레전복김밥,간이 음식 포장 판매 전문점,음식점,제주특별자치도,126.5637762,33.24965863,,중앙동,,서귀동
3,,,깡통화덕올레,간이 음식 포장 판매 전문점,음식점,제주특별자치도,126.5638912,33.24919111,,중앙동,,서귀동
4,,,루루네제주이야기,간이 음식 포장 판매 전문점,음식점,제주특별자치도,126.3584107,33.36297804,,애월읍,,애월읍
5,,,월정리밥집,간이 음식 포장 판매 전문점,음식점,제주특별자치도,126.7957403,33.55526583,,구좌읍,,구좌읍
6,,,서울국수가게,간이 음식 포장 판매 전문점,음식점,제주특별자치도,126.8564757,33.525818,,구좌읍,,구좌읍
7,,,희망이레,간이 음식 포장 판매 전문점,음식점,제주특별자치도,126.4899722,33.48968783,,연동,,연동
8,,,위드미트,간이 음식 포장 판매 전문점,음식점,제주특별자치도,126.5619143,33.46034068,,아라동,,아라이동
9,,,왕붕어분식,간이 음식 포장 판매 전문점,음식점,제주특별자치도,126.6192885,33.2849366,,남원읍,,남원읍
10,,,혼자돼지,간이 음식 포장 판매 전문점,음식점,제주특별자치도,126.8968698,33.47717206,,성산읍,,성산읍
11,,,제주보리촌,간이 음식 포장 판매 전문점,음식점,제주특별자치도,126.5429117,33.49544263,,이도2동,,이도이동
12,,,열정국밥,간이 음식 포장 판매 전문점,음식점,제주특별자치도,126.4858966,33.49201823,,연동,,연동
13,,,송정동핫도그,간이 음식 포장 판매 전문점,음식점,제주특별자치도,126.5643878,33.24769115,,정방동,,서귀동
14,,,원꼬치,간이 음식 포장 판매 전문점,음식점,제주특별자치도,126.5639279,33.24891204,,중앙동,,서귀동
15,,,성산일출상회,간이 음식 포장 판매 전문점,음식점,제주특별자치도,126.9360277,33.46263743,,성산읍,,성산읍
16,,,청춘감성쌀핫도그제주,간이 음식 포장 판매 전문점,음식점,제주특별자치도,126.5380641,33.4931947,,이도2동,,이도이동
17,,,폴카페,간이 음식 포장 판매 전문점,음식점,제주특별자치도,126.4168929,33.46889632,,애월읍,,애월읍
18,,,떡보킹삼화점,간이 음식 포장 판매 전문점,음식점,제주특별자치도,126.5635312,33.5200801,,화북동,,화북일동
19,,,흑돼지떡갈비올레시장맛집점,간이 음식 포장 판매 전문점,음식점,제주특별자치도,126.5638316,33.24955107,,중앙동,,서귀동
20,,,온정떡방,간이 음식 포장 판매 전문점,음식점,제주특별자치도,126.5251246,33.51255137,,이도1동,,이도일동
21,,,맛깔,간이 음식 포장 판매 전문점,음식점,제주특별자치도,126.4336601,33.48760938,,외도동,,외도일동
22,,,뉴페이스,간이 음식 포장 판매 전문점,음식점,제주특별자치도,126.852961,33.52458635,,구좌읍,,구좌읍
23,,,명랑쌀핫도그,간이 음식 포장 판매 전문점,음식점,제주특별자치도,126.5700366,33.25267905,,동홍동,,동홍동
24,,,그린보이즈제주,간이 음식 포장 판매 전문점,음식점,제주특별자치도,126.5379332,33.49266122,,이도2동,,이도이동
25,,,한화호텔앤드리조트아쿠아플라넷제주,간이 음식 포장 판매 전문점,음식점,제주특별자치도,126.9260796,33.43451079,,성산읍,,성산읍
26,,,만덕상회,간이 음식 포장 판매 전문점,음식점,제주특별자치도,126.5267988,33.51156154,,일도1동,,일도일동
27,,,헬시플레저,간이 음식 포장 판매 전문점,음식점,제주특별자치도,126.5290776,33.49010413,,이도2동,,도남동
28,,,싱싱프루츠삼화점,간이 음식 포장 판매 전문점,음식점,제주특별자치도,126.5883446,33.51726396,,삼양동,,삼양이동
29,,,대단한탕후루노형,간이 음식 포장 판매 전문점,음식점,제주특별자치도,126.4856039,33.48040245,,노형동,,노형동
30,,,영영상점연동38호상점,간이 음식 포장 판매 전문점,음식점,제주특별자치도,126.5018082,33.48468353,,연동,,연동
31,,,배떡서귀포,간이 음식 포장 판매 전문점,음식점,제주특별자치도,126.5053483,33.25283797,,대천동,,강정동
32,,,한솥도시락제주연동,간이 음식 포장 판매 전문점,음식점,제주특별자치도,126.4900606,33.48087156,,연동,,연동
33,,,빵집이야기,간이 음식 포장 판매 전문점,음식점,제주특별자치도,126.5448376,33.50446299,,일도2동,,일도이동
34,,,보리밭에보리빵,간이 음식 포장 판매 전문점,음식점,제주특별자치도,126.5283765,33.49592899,,이도2동,,도남동
35,,,서희원꼬지닷컴한라점,간이 음식 포장 판매 전문점,음식점,제주특별자치도,126.4874986,33.4784782,,연동,,연동
36,,,섭지코지,간이 음식 포장 판매 전문점,음식점,제주특별자치도,126.9297836,33.42361495,,성산읍,,성산읍
37,,,서희원꼬지닷컴제주월랑점,간이 음식 포장 판매 전문점,음식점,제주특별자치도,126.477241,33.49227278,,노형동,,노형동
38,,,제주순수,간이 음식 포장 판매 전문점,음식점,제주특별자치도,126.3293182,33.2863357,,안덕면,,안덕면
39,,,못난이꽈배기제주삼화점,간이 음식 포장 판매 전문점,음식점,제주특별자치도,126.5754965,33.51442115,,화북동,,화북일동
40,,,구좌상회,간이 음식 포장 판매 전문점,음식점,제주특별자치도,126.6989292,33.48567478,,조천읍,,조천읍
