Area Nm,URL,F_This Month,Weekday,읍면리,Address,Base Date(YYYYMM),Base Month(MM),Base Mt,Base Year,Contentsid,Param Date,Cnt,힐링,감성,자연,체험,커플,가족,액티비티,사진명소,카페투어,맛집탐방,Cnt_norm,힐링_추천점수,감성_추천점수,자연_추천점수,체험_추천점수,커플_추천점수,가족_추천점수,액티비티_추천점수,사진명소_추천점수,카페투어_추천점수,맛집탐방_추천점수,최고추천성향,최고추천점수
한라축산정육식당 노형점,https://www.visitjeju.net/kr/detail/view?contentsid=CNTS_200000000013013,참,FRI,노형동,제주특별자치도 제주시 노형동 149,2025. 1. 1.,1,1,2025,CNTS_200000000013013,2025. 1. 1.,8,1,0,1,0,0,0,0,0,0,1,0.0070921985815602835,0.702127659574468,0.002127659574468085,0.702127659574468,0.002127659574468085,0.002127659574468085,0.002127659574468085,0.002127659574468085,0.002127659574468085,0.002127659574468085,0.702127659574468,힐링,0.702127659574468
해일리 카페,,참,FRI,,,2025. 1. 1.,1,1,2025,,2025. 1. 1.,9,0,1,0,0,1,0,0,0,1,1,0.007978723404255319,0.0023936170212765953,0.7023936170212766,0.0023936170212765953,0.0023936170212765953,0.7023936170212766,0.0023936170212765953,0.0023936170212765953,0.0023936170212765953,0.7023936170212766,0.7023936170212766,감성,0.7023936170212766
해송갈치 제주성산일출봉점,,참,FRI,,,2025. 1. 1.,1,1,2025,,2025. 1. 1.,13,1,0,2,0,0,0,0,1,0,0,0.01152482269503546,0.7034574468085106,0.003457446808510638,1.4034574468085106,0.003457446808510638,0.003457446808510638,0.003457446808510638,0.003457446808510638,0.7034574468085106,0.003457446808510638,0.003457446808510638,자연,1.4034574468085106
최고집,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000501382,참,FRI,서호동,제주특별자치도 서귀포시 서호동 1477-6,2025. 1. 1.,1,1,2025,CONT_000000000501382,2025. 1. 1.,13,0,0,0,0,0,0,0,0,0,0,0.01152482269503546,0.003457446808510638,0.003457446808510638,0.003457446808510638,0.003457446808510638,0.003457446808510638,0.003457446808510638,0.003457446808510638,0.003457446808510638,0.003457446808510638,0.003457446808510638,힐링,0.003457446808510638
청파식당횟집,https://www.visitjeju.net/kr/detail/view?contentsid=CNTS_200000000012682,참,FRI,구좌읍,제주특별자치도 제주시 구좌읍 세화리 3648-5,2025. 1. 1.,1,1,2025,CNTS_200000000012682,2025. 1. 1.,13,0,0,0,0,0,0,0,0,0,2,0.01152482269503546,0.003457446808510638,0.003457446808510638,0.003457446808510638,0.003457446808510638,0.003457446808510638,0.003457446808510638,0.003457446808510638,0.003457446808510638,0.003457446808510638,1.4034574468085106,맛집탐방,1.4034574468085106
제주신화월드 르쉬느아 (Le Chinois),,참,FRI,,,2025. 1. 1.,1,1,2025,,2025. 1. 1.,14,0,0,0,0,0,0,0,0,0,0,0.012411347517730497,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,힐링,0.003723404255319149
중문색달통갈치 본점,,참,FRI,,,2025. 1. 1.,1,1,2025,,2025. 1. 1.,14,0,0,0,0,0,0,0,0,0,0,0.012411347517730497,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,힐링,0.003723404255319149
친봉산장,,참,FRI,,,2025. 1. 1.,1,1,2025,,2025. 1. 1.,14,1,0,1,0,0,0,0,0,0,0,0.012411347517730497,0.7037234042553191,0.003723404255319149,0.7037234042553191,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,힐링,0.7037234042553191
카페방주,,참,FRI,,,2025. 1. 1.,1,1,2025,,2025. 1. 1.,14,0,1,0,0,1,0,0,0,1,1,0.012411347517730497,0.003723404255319149,0.7037234042553191,0.003723404255319149,0.003723404255319149,0.7037234042553191,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.7037234042553191,0.7037234042553191,감성,0.7037234042553191
한림칼국수,https://www.visitjeju.net/kr/detail/view?contentsid=CNTS_000000000018374,참,FRI,한림읍,제주특별자치도 제주시 한림읍 한림리 1328-15,2025. 1. 1.,1,1,2025,CNTS_000000000018374,2025. 1. 1.,14,0,0,0,0,0,0,0,0,0,0,0.012411347517730497,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,0.003723404255319149,힐링,0.003723404255319149
핀크스 비오토피아,https://www.visitjeju.net/kr/detail/view?contentsid=CNTS_000000000022666,참,FRI,안덕면,서귀포시 안덕면 상천리 791,2025. 1. 1.,1,1,2025,CNTS_000000000022666,2025. 1. 1.,18,0,0,0,0,0,0,0,0,0,0,0.015957446808510637,0.004787234042553191,0.004787234042553191,0.004787234042553191,0.004787234042553191,0.004787234042553191,0.004787234042553191,0.004787234042553191,0.004787234042553191,0.004787234042553191,0.004787234042553191,힐링,0.004787234042553191
제주신화월드 제주선,,참,FRI,,,2025. 1. 1.,1,1,2025,,2025. 1. 1.,20,0,0,0,0,0,0,0,0,0,0,0.01773049645390071,0.005319148936170213,0.005319148936170213,0.005319148936170213,0.005319148936170213,0.005319148936170213,0.005319148936170213,0.005319148936170213,0.005319148936170213,0.005319148936170213,0.005319148936170213,힐링,0.005319148936170213
